Operator            Operations performed 
=                   Assignment only 
+=                  Addition and assignment 
-=                  Subtraction and assignment 
*=                  Multiplication and assignment 
/=                  Division and assignment 
%=                  Remainder and assignment 
**=                 Exponentiation and assignment 
&=                  Bitwise AND and assignment 
|=                  Bitwise OR and assignment 
^=                  Bitwise XOR and assignment 
