
Perl     Usage
\\       Allow the use of a backslash.
\"       Double quote.
\a       Bell.
\b       Backspace.
\cN      Any control character (e.g., \cC for Ctrl-C).
\e       The escape character (character 27).
\E       End a sequence of \L or \U.
\f       Formfeed.
\l       Make the next character lowercase.
\L       Make following characters lowercase until \E.
\n       Newline.
\r       Return.
\t       Tab.
\u       Make the next character uppercase.
\U       Make following characters uppercase until \E.
\0NN     Any octal numeric value.
\xNN     Any hexadecimal numeric value.

   
